user_id,review,stars,date_format,time_of_day,hour_of_day,day_of_week,review_format,review_lang,month_year,review_len,review_nb_words,sentiment,topic_dominant,model_prediction,model_score
48dc17f922e4840c30837e79d7de8876,Trop bien. Super week-end avec le soleil en plus. Hôtel et resto au top !,5,2016-10-09 19:20:00,19:20,19,Dim,trop bien  super week end avec le soleil en plus  hôtel et resto au top  ,french,2016-10,73,15,positif,0,5 stars,0.7182019352912903
816d9813888ee7cd1afff95cae6de806,Un parc digne d un compte de fée !,2,2015-07-17 21:25:00,21:25,21,Ven,un parc digne d un compte de fée  ,french,2015-07,34,8,positif,1,2 stars,0.3750349283218384
d10b39076dc641ccda2cad1b1dd43888,À part le prix qui est abusé et les restaurants sont pas de tout donné et plein d'attraction qui sont on arrêt pour un billet d'entre de 75€ par personne je trouve que mal honnête,4,2017-01-05 23:26:00,23:26,23,Jeu,à part le prix qui est abusé et les restaurants sont pas de tout donné et plein d attraction qui sont on arrêt pour un billet d entre de   par personne je trouve que mal honnête,french,2017-01,177,36,positif,0,4 stars,0.33210834860801697
1308ecf3679b51eaee2281bee1d901c6,"C'était la première fois que je retournai à Disney en 16 ans. J'avais huit ans quand j'y suis allée. Pleins de souvenirs sont remontés en moi, j'ai passé une magnifique journée �",4,2016-10-30 12:00:00,12:00,12,Dim,c était la première fois que je retournai à disney en  ans  j avais huit ans quand j y suis allée  pleins de souvenirs sont remontés en moi  j ai passé une magnifique journée  ,french,2016-10,176,34,positif,4,3 stars,0.337356835603714
0d2c23233261dec9b0846ca15031cc11,"Encore une merveilleuse journée pour les 7 ans de mon fils. Un badge pour son anniversaire, Mickey lui souhaitant un bon anniversaire par téléphone, Spiderman (au courant grâce à ses supers pouvoirs) lui chantant """"""""joyeux anniversaire"""""""", la nouvelle parade éblouissante, le spectacle de clôture époustouflant : journée au top du top !!!!",5,2017-04-06 11:11:00,11:11,11,Jeu,encore une merveilleuse journée pour les  ans de mon fils  un badge pour son anniversaire  mickey lui souhaitant un bon anniversaire par téléphone  spiderman  au courant grâce à ses supers pouvoirs  lui chantant     joyeux anniversaire      la nouvelle parade éblouissante  le spectacle de clôture époustouflant   journée au top du top     ,french,2017-04,340,49,positif,4,2 stars,0.4698614776134491
4f89e9ea2a8452ff5697427cdf3504d6,"Visite des deux parcs vendredi 20 janvier, petit reproche concernant les nombreuses pannes/ problèmes techniques d'autant plus quand l'attente du jeu est d'entrée 45 minutes la panne rajoute facilement 20-30 minutes d'attente en plus ce qui est un peu démoralisant pour attendre dans le froid. Ainsi que les nombreuses attractions fermes dans le parc disney simple, notamment l'attraction phare """"""""space mountain"""""""". Néanmoins on oubli ces petits soucis lors de la féerique parade avec tous les personnages Disney toujours merveilleux même pour les plus grands ainsi que le spectacle/feux d'artifices sur le château à la nuit tombée.",4,2017-01-22 23:17:00,23:17,23,Dim,visite des deux parcs vendredi  janvier  petit reproche concernant les nombreuses pannes  problèmes techniques d autant plus quand l attente du jeu est d entrée  minutes la panne rajoute facilement   minutes d attente en plus ce qui est un peu démoralisant pour attendre dans le froid  ainsi que les nombreuses attractions fermes dans le parc disney simple  notamment l attraction phare     space mountain      néanmoins on oubli ces petits soucis lors de la féerique parade avec tous les personnages disney toujours merveilleux même pour les plus grands ainsi que le spectacle feux d artifices sur le château à la nuit tombée ,french,2017-01,627,100,positif,4,4 stars,0.5066674947738647
ca2ee6fa20f9cb3e08ef9ca785e8c49b,"Magique,  mais un peu onéreux... dommage!",5,2014-03-03 23:20:00,23:20,23,Lun,magique  mais un peu onéreux    dommage ,french,2014-03,40,6,positif,0,5 stars,0.8007799983024597
5f1c8c3a15eaee74da2ee28edc09b2a8,juste magique,5,2013-02-03 11:16:00,11:16,11,Dim,juste magique,french,2013-02,13,2,positif,3,4 stars,0.4270799160003662
a0f93c7c7659ba07a733e9166a619563,Beaucoup d'attraction fermé mais féerique quand même,5,2017-02-08 14:23:00,14:23,14,Mer,beaucoup d attraction fermé mais féerique quand même,french,2017-02,52,8,positif,0,5 stars,0.5272141098976135
e1e9f9ca890941f93bd94e3ca4f07558,"Prix trop élevé et beaucoup d'attractions en panne,beaucoup d'attente.<br/> Déçu��",5,2017-08-08 20:52:00,20:52,20,Mar,prix trop élevé et beaucoup d attractions en panne beaucoup d attente  déçu  ,french,2017-08,77,13,négatif,4,5 stars,0.7508825659751892
